# fixed mirror figure, mode=median, layout=pf36000
# generated 2026-08-01 by scripts/build_fixed_shapes.py: 4876 timesteps over 365 days of 2026, day stride 1
# mean_cos weight = trapezoid daylight hours x cos(AOI); median = time-weighted component-wise median
heliostat,x_mm,y_mm,c3,c4,c5
180,-51127.5235819115,-3.9149047287871204e-11,-9.336029001672564e-09,-1.1644014910228418e-06,5.795064383010679e-09
181,-50690.1205300545,-6673.48097078784,-8.532352296600818e-09,-1.1624793749058685e-06,4.896666877702881e-09
182,-49385.3954619717,-13232.776831927,-6.7683939951499444e-09,-1.1612780605025542e-06,3.761801406148014e-09
183,-47235.6725853162,-19565.656212653,-4.776714939819783e-09,-1.1611695728783426e-06,8.227589831212138e-09
184,-44277.734254523304,-25563.761790955803,-1.235455124043109e-08,-1.1619547632766773e-06,2.471909019791009e-08
185,-40562.191614528405,-31124.4643174015,-1.4865973738767036e-08,-1.1623389913359353e-06,5.026962263525028e-08
186,-36152.6186300447,-36152.6186300448,-1.8070808126358107e-08,-1.1631003883863864e-06,7.69882846109142e-08
187,-31124.4643174014,-40562.191614528405,-2.1856351464686384e-08,-1.1644088744330268e-06,1.0394242334951706e-07
188,-25563.761790955698,-44277.734254523304,-2.4365439030027756e-08,-1.1662978751652857e-06,1.3539452768006926e-07
189,-19565.6562126529,-47235.6725853162,-3.087634033440768e-08,-1.1676411609917746e-06,1.308980132087912e-07
190,-13232.7768319269,-49385.3954619717,-2.6737727802753565e-08,-1.1687232230266421e-06,1.5134828573978334e-07
191,-6673.48097078771,-50690.1205300545,-1.3766192068190112e-08,-1.1694611728237458e-06,1.6678729497856968e-07
192,8.14287524808883e-11,-51127.5235819115,-6.000841069491135e-12,-1.1693439288510884e-06,1.7104709427979249e-07
193,3690.00801333362,-56298.6429895466,7.445904042208534e-09,-1.0939545657722421e-06,1.6756759914166728e-07
194,11006.8869798294,-55335.3575990628,1.8338908804922814e-08,-1.093698127616011e-06,1.542405783813624e-07
195,18135.4350584147,-53425.2688981994,1.8416353522427156e-08,-1.0933232318127985e-06,1.2940933765943873e-07
196,24953.6808150581,-50601.0590342049,1.3815079135420291e-08,-1.0918676066429644e-06,1.2498946273914648e-07
197,31344.962174488403,-46911.0510208712,1.4357471922961193e-08,-1.0901534968122595e-06,1.1387328292889072e-07
198,37199.9225406478,-42418.3819183699,1.1358229609331324e-08,-1.0886386376432916e-06,7.605112957074854e-08
199,42418.38191836981,-37199.922540647894,9.704356256197842e-09,-1.0870182431057291e-06,5.759450689389274e-08
200,46911.0510208712,-31344.9621744885,1.2781607228358721e-08,-1.0872738982910743e-06,3.5395192564285285e-08
