# fixed mirror figure, mode=mean_cos, layout=pf36000
# generated 2026-08-01 by scripts/build_fixed_shapes.py: 4876 timesteps over 365 days of 2026, day stride 1
# mean_cos weight = trapezoid daylight hours x cos(AOI); median = time-weighted component-wise median
heliostat,x_mm,y_mm,c3,c4,c5
89,-38530.3974519658,-11688.0682851266,4.947577845709293e-08,-1.3851853716123784e-06,3.060442524665221e-08
90,-35509.817663482405,-18980.3929767134,7.759213849290991e-08,-1.3801948955618517e-06,8.360510132198824e-08
91,-31124.6154963265,-25543.3118105322,5.7674443102851124e-08,-1.3745101451956877e-06,1.326490202244322e-07
92,-25543.3118105322,-31124.6154963265,3.890715228755557e-08,-1.3689046634978131e-06,1.5286243805531317e-07
93,-18980.3929767134,-35509.817663482405,2.4877944630359595e-08,-1.3640762279682466e-06,1.608755952679399e-07
94,-11688.0682851266,-38530.3974519658,1.392239413795152e-08,-1.360563453903836e-06,1.6403527271534096e-07
95,-3946.5776840865997,-40070.2756744661,4.489023493040845e-09,-1.3587204661959815e-06,1.6511606381404212e-07
96,3014.76446879802,-45996.4173283991,-1.2381015636835068e-09,-1.256571341607741e-06,1.6536788374951637e-07
97,8992.7099504825,-45209.405875294105,-3.8150776669938596e-09,-1.257457181355225e-06,1.6513203164132994e-07
98,14816.787671663898,-43648.848953247405,-6.717578381600056e-09,-1.2591952135360768e-06,1.6452006389476207e-07
99,20387.3460477936,-41341.4481238635,-1.0240995433520729e-08,-1.261716768868447e-06,1.6320850537046364e-07
100,25609.071280605298,-38326.683655065404,-1.4819995253193598e-08,-1.2649156571001158e-06,1.605812783362398e-07
101,30392.61820363,-34656.1390027649,-2.1107171504046973e-08,-1.268645607933401e-06,1.5545974923813323e-07
102,34656.1390027648,-30392.6182036301,-2.999791176400965e-08,-1.2727193785108724e-06,1.454071383784358e-07
103,38326.6836550653,-25609.0712806054,-4.191253040336283e-08,-1.2769122157107392e-06,1.2527792680332071e-07
104,41341.4481238634,-20387.346047793697,-4.922020103580584e-08,-1.2809726945687432e-06,8.58019932066882e-08
105,43648.848953247405,-14816.787671664,-3.8662437926165865e-08,-1.2846423243840174e-06,3.6075423709785826e-08
106,45209.405875294105,-8992.70995048261,-1.228237547690856e-08,-1.2876812545338314e-06,4.109799121417866e-08
107,45996.4173283991,-3014.7644687981397,1.0530364414829144e-09,-1.2898937437326625e-06,5.3144773117847245e-08
108,45996.4173283991,3014.76446879807,1.3882691953070431e-08,-1.2911478413465947e-06,6.104099069653043e-08
109,45209.405875294105,8992.70995048254,2.737157742949312e-08,-1.2913879854069324e-06,6.376376999833862e-08
110,43648.848953247405,14816.787671664,4.9466788424975985e-08,-1.2906415695282994e-06,6.506180246149583e-08
111,41341.4481238635,20387.346047793697,8.196315573434802e-08,-1.289018791568605e-06,7.810412833976414e-08
112,38326.6836550653,25609.0712806054,1.0368312752566682e-07,-1.2867027522715885e-06,1.1859252759023716e-07
113,34656.1390027648,30392.61820363,9.863336704638456e-08,-1.2839284973638862e-06,1.5939121186220074e-07
114,30392.61820363,34656.1390027648,7.12407467529251e-08,-1.2809551522880658e-06,1.7496046520948387e-07
115,25609.0712806054,38326.6836550653,4.6938794931206835e-08,-1.2780386741143344e-06,1.9251564296362465e-07
