X (m),Y (m)
-35.50981766,-18.98039298
-31.1246155,-25.54331181
-25.54331181,-31.1246155
-18.98039298,-35.50981766
-11.68806829,-38.53039745
-3.946577684,-40.07027567
3.014764469,-45.99641733
8.99270995,-45.20940588
14.81678767,-43.64884895
20.38734605,-41.34144812
25.60907128,-38.32668366
30.3926182,-34.656139
34.656139,-30.3926182
38.32668366,-25.60907128
41.34144812,-20.38734605
43.64884895,-14.81678767
45.20940588,-8.99270995
45.99641733,-3.014764469
45.99641733,3.014764469
45.20940588,8.99270995
43.64884895,14.81678767
41.34144812,20.38734605
38.32668366,25.60907128
34.656139,30.3926182
30.3926182,34.656139
25.60907128,38.32668366
20.38734605,41.34144812
14.81678767,43.64884895
8.99270995,45.20940588
3.014764469,45.99641733
-3.014764469,45.99641733
-8.99270995,45.20940588
-14.81678767,43.64884895
-20.38734605,41.34144812
-25.60907128,38.32668366
-30.3926182,34.656139
-34.656139,30.3926182
-38.32668366,25.60907128
-41.34144812,20.38734605
-43.64884895,14.81678767
-45.20940588,8.99270995
-45.99641733,3.014764469
-45.99641733,-3.014764469
-45.20940588,-8.99270995
-43.64884895,-14.81678767
-41.34144812,-20.38734605
-3.83E+01,-25.60907128
-34.656139,-30.3926182
-30.3926182,-34.656139
-25.60907128,-38.32668366
-20.38734605,-41.34144812
-14.81678767,-43.64884895
-8.99270995,-45.20940588
-3.014764469,-45.99641733
-8.77E-14,-51.12752358
6.673480971,-50.69012053
13.23277683,-49.38539546
19.56565621,-47.23567259
25.56376179,-44.27773425
31.12446432,-40.56219161
36.15261863,-36.15261863
40.56219161,-31.12446432
44.27773425,-25.56376179
47.23567259,-19.56565621
49.38539546,-13.23277683
50.69012053,-6.673480971
5.11E+01,-4.54E-14
50.69012053,6.673480971
49.38539546,13.23277683
47.23567259,19.56565621
44.27773425,25.56376179
40.56219161,31.12446432
36.15261863,36.15261863
31.12446432,40.56219161
25.56376179,44.27773425
19.56565621,47.23567259
13.23277683,49.38539546
6.673480971,50.69012053
3.13E-15,51.12752358
-6.673480971,50.69012053
-13.23277683,49.38539546
-19.56565621,47.23567259
-25.56376179,44.27773425
-31.12446432,40.56219161
-36.15261863,36.15261863
-40.56219161,31.12446432
-44.27773425,25.56376179
-47.23567259,19.56565621
-49.38539546,13.23277683
-50.69012053,6.673480971
-51.12752358,-3.91E-14
-50.69012053,-6.673480971
-49.38539546,-13.23277683
-47.23567259,-19.56565621
-44.27773425,-25.56376179
-40.56219161,-31.12446432
-36.15261863,-36.15261863
-31.12446432,-40.56219161
-25.56376179,-44.27773425
-19.56565621,-47.23567259
-13.23277683,-49.38539546
-6.673480971,-50.69012053
8.14E-14,-51.12752358
3.690008013,-56.29864299
11.00688698,-55.3353576
1.81E+01,-53.4252689
24.95368082,-50.60105903
31.34496217,-46.91105102
37.19992254,-42.41838192
42.41838192,-37.19992254
46.91105102,-31.34496217
50.60105903,-24.95368082
53.4252689,-18.13543506
55.3353576,-11.00688698
56.29864299,-3.690008013
56.29864299,3.690008013
55.3353576,11.00688698
53.4252689,18.13543506
50.60105903,24.95368082
46.91105102,31.34496217
42.41838192,37.19992254
37.19992254,42.41838192
31.34496217,46.91105102
24.95368082,50.60105903
18.13543506,53.4252689
11.00688698,55.3353576
3.690008013,56.29864299
-3.690008013,56.29864299
-11.00688698,55.3353576
-18.13543506,53.4252689
-24.95368082,50.60105903
-31.34496217,46.91105102
-37.19992254,42.41838192
-42.41838192,37.19992254
-46.91105102,31.34496217
-50.60105903,24.95368082
-53.4252689,18.13543506
-55.3353576,11.00688698
-56.29864299,3.690008013
-56.29864299,-3.690008013
-55.3353576,-11.00688698
-53.4252689,-18.13543506
-50.60105903,-24.95368082
-46.91105102,-31.34496217
-42.41838192,-37.19992254
-37.19992254,-42.41838192
-31.34496217,-46.91105102
-24.95368082,-50.60105903
-18.13543506,-53.4252689
-11.00688698,-55.3353576
-3.690008013,-56.29864299
-1.06E-13,-61.99805657
8.092370249,-61.4676546
16.0462778,-59.88552402
23.72562909,-57.27873552
30.99902828,-53.69189197
37.74202551,-49.18636527
